Loan_ID,Customer_Type,Annual_Income,Loan_Amount,Interest_Rate,Debt_to_Income,Credit_History_Length,Past_Default,PD_predicted,Risk_Score,Risk_Category,Has_Fraud,Fraud_Txns,Lending_Decision,Adjusted_Rate,Monitoring_Strategy
31,Retail,4285780,231897,11.18,0.32,10,0,0.1572,1.8,Low,0,0,APPROVE,11.18%,Annual review. Standard loan covenants. No additional requirements.
99,Corporate,1909490,313571,11.67,0.42,22,0,0.1572,1.8,Low,0,0,APPROVE,11.67%,Annual review. Standard loan covenants. No additional requirements.
100,Retail,3917857,694106,11.64,0.21,14,0,0.1572,1.75,Low,0,0,APPROVE,11.64%,Annual review. Standard loan covenants. No additional requirements.
46,Retail,3255187,541849,9.89,0.35,16,0,0.1572,1.6500000000000001,Low,0,0,APPROVE,9.89%,Annual review. Standard loan covenants. No additional requirements.
60,Retail,1839891,606562,8.27,0.4,24,0,0.1572,1.6500000000000001,Low,0,0,APPROVE,8.27%,Annual review. Standard loan covenants. No additional requirements.
71,Retail,4262406,813692,10.49,0.32,21,0,0.1572,1.6500000000000001,Low,0,0,APPROVE,10.49%,Annual review. Standard loan covenants. No additional requirements.
2,Retail,2740108,825131,12.8,0.15,23,0,0.1572,1.6,Low,0,0,APPROVE,12.80%,Annual review. Standard loan covenants. No additional requirements.
41,Retail,4093960,638880,11.77,0.16,21,0,0.1572,1.6,Low,0,0,APPROVE,11.77%,Annual review. Standard loan covenants. No additional requirements.
49,Retail,4128502,659324,12.54,0.23,15,0,0.1572,1.6,Low,0,0,APPROVE,12.54%,Annual review. Standard loan covenants. No additional requirements.
81,Corporate,2166233,82303,12.46,0.3,13,0,0.1572,1.5999999999999999,Low,0,0,APPROVE,12.46%,Annual review. Standard loan covenants. No additional requirements.
25,Retail,4000001,176926,4.61,0.66,23,0,0.1572,1.55,Low,0,0,APPROVE,4.61%,Annual review. Standard loan covenants. No additional requirements.
48,Retail,4690456,616440,4.68,0.65,19,0,0.1572,1.55,Low,0,0,APPROVE,4.68%,Annual review. Standard loan covenants. No additional requirements.
50,Corporate,3651581,396193,5.42,0.83,23,0,0.1572,1.55,Low,0,0,APPROVE,5.42%,Annual review. Standard loan covenants. No additional requirements.
51,Retail,4276238,36734,4.96,0.76,23,0,0.1572,1.55,Low,0,0,APPROVE,4.96%,Annual review. Standard loan covenants. No additional requirements.
23,Retail,2213151,639474,3.62,0.52,24,0,0.1572,1.5000000000000002,Low,0,0,APPROVE,3.62%,Annual review. Standard loan covenants. No additional requirements.
35,Corporate,2764296,105462,7.94,0.6,17,0,0.1572,1.5,Low,0,0,APPROVE,7.94%,Annual review. Standard loan covenants. No additional requirements.
36,Retail,3361869,409445,7.19,0.32,20,0,0.1572,1.5,Low,0,0,APPROVE,7.19%,Annual review. Standard loan covenants. No additional requirements.
4,Corporate,3383597,77661,5.05,0.19,5,0,0.1572,1.45,Low,0,0,APPROVE,5.05%,Annual review. Standard loan covenants. No additional requirements.
14,Retail,3019475,814462,9.09,0.11,18,0,0.1572,1.45,Low,0,0,APPROVE,9.09%,Annual review. Standard loan covenants. No additional requirements.
30,Retail,4624877,675627,6.06,0.14,4,0,0.1572,1.45,Low,0,0,APPROVE,6.06%,Annual review. Standard loan covenants. No additional requirements.
58,Retail,4190435,91264,7.71,0.14,8,0,0.1572,1.45,Low,0,0,APPROVE,7.71%,Annual review. Standard loan covenants. No additional requirements.
